CODE;DESCRIPTION
"EV000552";"Continuously variable"
"EV000554";"Push button"
"EV000555";"Symbol "I""
"EV000556";"Symbol "0""
"EV000558";"Left/right"
"EV000560";"T-shape"
"EV000561";"Metal/plastic"
"EV000562";"Stop"
"EV000563";"Ceiling installation"
"EV000566";"Intermediate mounting"
"EV000567";"Suspension cable"
"EV000568";"D-system"
"EV000569";"D0-system"
"EV000570";"NH"
"EV000572";"Ceramics"
"EV000575";"Swivelling"
"EV000582";"I"
"EV000583";"II"
"EV000586";"Polycarbonate (PC)"
"EV000591";"PG12-1"
"EV000592";"Radio frequency (RF)"
"EV000593";"Continuous tone"
"EV000598";"Slider with 2 inlets"
"EV000599";"1"
"EV000600";"2"
"EV000601";"0"
"EV000602";"Symbol "II""
"EV000603";"Wall built-in"
"EV000604";"Aeration"
"EV000605";"De-aeration"
"EV000607";"Roof shape"
"EV000612";"Rotating current"
"EV000613";"Self-acting"
"EV000614";"Mounting plate"
"EV000615";"Thermostat"
"EV000616";"Candle"
"EV000621";"With clamps"
"EV000622";"With bus bar"
"EV000623";"1-story"
"EV000624";"2-story"
"EV000625";"Narrow"
"EV000627";"W2x4.6d"
"EV000629";"Busbar"
"EV000634";"Pictogram"
"EV000635";"For 1-story support plates"
"EV000636";"For 2-story support plates"
"EV000637";"1-rows"
"EV000638";"2-rows"
"EV000639";"3-rows"
"EV000640";"2- and 4-rows"
"EV000641";"3xbrown / 1xblue"
"EV000642";"3xbrown / 1xgreen/yellow"
"EV000643";"3xbrown / 1xblue / 1xgreen/yellow"
"EV000644";"Above"
"EV000645";"Bottom"
"EV000646";"Miniature circuit breaker (MCB)"
"EV000647";"E"
"EV000648";"Two-way switch"
"EV000649";"With bus bar 3-pole"
"EV000650";"With bus bar 2x3-pole"
"EV000653";"GX4"
"EV000654";"UV filter"
"EV000657";"High-gloss"
"EV000659";"G13"
"EV000669";"Semi round"
"EV000675";"Corner connector"
"EV000676";"T-connector"
"EV000677";"Cross connector"
"EV000680";"Toroidal core transformer"
"EV000681";"Electronic transformer"
"EV000682";"Distance piece"
"EV000683";"G11"
"EV000685";"Variable"
"EV000686";"5x2.5 mm²"
"EV000692";"End cap"
"EV000693";"Knot chain"
"EV000703";"Fabric"
"EV000705";"Metal/wood"
"EV000706";"Two-sided"
"EV000711";"Black/white"
